name,ring,quadrant,isNew,description,Descriptive text here,Tech Champ,URL,URL Text,,ring_dropdown,,quadrant_dropdown,isNew_dropdown,Link to Radar,
Cosmos DB,adopt,languages & frameworks,FALSE,"<strong>Cosmos DB</strong> is Microsoft's globally distributed, multi-model database service<a href=""https://docs.microsoft.com/en-us/azure/cosmos-db/introduction"">Welcome to Cosmos DB</a> Tech Champ <strong>?</strong>.","is Microsoft's globally distributed, multi-model database service",,https://docs.microsoft.com/en-us/azure/cosmos-db/introduction,Welcome to Cosmos DB,,,,,,,
Jest,adopt,languages & frameworks,TRUE,"<strong>Jest</strong> is an open-source test framework created by Facebook that has a great integration with React. js. It includes a command line tool for test execution similar to what Jasmine and Mocha offer.<a href=""https://jestjs.io/docs/tutorial-react"">https://jestjs.io/docs/tutorial-react</a> Tech Champ <strong>?</strong>.",is an open-source test framework created by Facebook that has a great integration with React. js. It includes a command line tool for test execution similar to what Jasmine and Mocha offer.,,https://jestjs.io/docs/tutorial-react,https://jestjs.io/docs/tutorial-react,,,,,,,
Visual Basic for MIS,adopt,languages & frameworks,FALSE,"<strong>Visual Basic for MIS</strong> VB <a href=""""></a> Tech Champ <strong>Simon </strong>.",VB ,Simon ,,,,,,,,,
BootStrap,adopt,languages & frameworks,FALSE,"<strong>BootStrap</strong> is a free and open-source CSS framework directed at responsive, mobile-first front-end web development. It contains CSS- and JavaScript-based design templates for typography, forms, buttons, navigation and other interface components.<a href=""https://getbootstrap.com/"">https://getbootstrap.com/</a> Tech Champ <strong>?</strong>.","is a free and open-source CSS framework directed at responsive, mobile-first front-end web development. It contains CSS- and JavaScript-based design templates for typography, forms, buttons, navigation and other interface components.",,https://getbootstrap.com/,https://getbootstrap.com/,,,,,,,
Moq,adopt,languages & frameworks,FALSE,"<strong>Moq</strong>  is a mocking framework for C#/. NET. It is used in unit testing to isolate your class under test from its dependencies and ensure that the proper methods on the dependent objects are being called. For more information on mocking you may want to look at the Wikipedia article on Mock Objects<a href=""https://github.com/Moq/moq4/wiki/Quickstart"">QuickStart</a> Tech Champ <strong>?</strong>.", is a mocking framework for C#/. NET. It is used in unit testing to isolate your class under test from its dependencies and ensure that the proper methods on the dependent objects are being called. For more information on mocking you may want to look at the Wikipedia article on Mock Objects,,https://github.com/Moq/moq4/wiki/Quickstart,QuickStart,,,,,,,
Material UI,trial,languages & frameworks,TRUE,"<strong>Material UI</strong> is simply a library that allows us to import and use different components to create a user interface in our React applications. This saves a significant amount of time since the developers do not need to write everything from scratch<a href=""https://mui.com/"">https://mui.com/</a> Tech Champ <strong>?</strong>.",is simply a library that allows us to import and use different components to create a user interface in our React applications. This saves a significant amount of time since the developers do not need to write everything from scratch,,https://mui.com/,https://mui.com/,,,,,,,
Python for MIS,assess,languages & frameworks,TRUE,"<strong>Python for MIS</strong> Python<a href=""""></a> Tech Champ <strong>Simon</strong>.",Python,Simon,,,,,,,,,
GraphQL,assess,languages & frameworks,FALSE,"<strong>GraphQL</strong> is a query language for APIs and a runtime for fulfilling those queries with your existing data. GraphQL provides a complete and understandable description of the data in your API, gives clients the power to ask for exactly what they need and nothing more, makes it easier to evolve APIs over time, and enables powerful developer tools.<a href=""https://graphql.org/"">https://graphql.org/</a> Tech Champ <strong>?</strong>.","is a query language for APIs and a runtime for fulfilling those queries with your existing data. GraphQL provides a complete and understandable description of the data in your API, gives clients the power to ask for exactly what they need and nothing more, makes it easier to evolve APIs over time, and enables powerful developer tools.",,https://graphql.org/,https://graphql.org/,,,,,,,
TypeScript,assess,languages & frameworks,TRUE,"<strong>TypeScript</strong> is an open-source language which builds on JavaScript, one of the world's most used tools, by adding static type definitions. Types provide a way to describe the shape of an object, providing better documentation, and allowing TypeScript to validate that your code is working correctly.<a href=""https://www.typescriptlang.org/""></a> Tech Champ <strong>?</strong>.","is an open-source language which builds on JavaScript, one of the world's most used tools, by adding static type definitions. Types provide a way to describe the shape of an object, providing better documentation, and allowing TypeScript to validate that your code is working correctly.",,https://www.typescriptlang.org/,,,,,,,,
JQuery,hold,languages & frameworks,FALSE,"<strong>JQuery</strong> is a lightweight, ""write less, do more"", JavaScript library. The purpose of jQuery is to make it much easier to use JavaScript on your website. jQuery takes a lot of common tasks that require many lines of JavaScript code to accomplish, and wraps them into methods that you can call with a single line of code.<a href=""https://api.jquery.com/"">https://api.jquery.com/</a> Tech Champ <strong>?</strong>.","is a lightweight, ""write less, do more"", JavaScript library. The purpose of jQuery is to make it much easier to use JavaScript on your website. jQuery takes a lot of common tasks that require many lines of JavaScript code to accomplish, and wraps them into methods that you can call with a single line of code.",,https://api.jquery.com/,https://api.jquery.com/,,,,,,,
MVC,hold,languages & frameworks,FALSE,"<strong>MVC</strong> stands for Model, View and Controller. MVC separates application into three components - Model, View and Controller. Model: Model represents shape of the data and business logic. It maintains the data of the application. Model objects retrieve and store model state in a database.<a href=""https://en.wikipedia.org/wiki/Model%E2%80%93view%E2%80%93controller"">wikipedia</a> Tech Champ <strong>?</strong>.","stands for Model, View and Controller. MVC separates application into three components - Model, View and Controller. Model: Model represents shape of the data and business logic. It maintains the data of the application. Model objects retrieve and store model state in a database.",,https://en.wikipedia.org/wiki/Model%E2%80%93view%E2%80%93controller,wikipedia,,,,,,,
Enzyme,hold,languages & frameworks,TRUE,"<strong>Enzyme</strong> is a JavaScript Testing utility for React that makes it easier to assert, manipulate, and traverse your React Components' output. It was developed at Airbnb and later transferred to an independent organization.<a href=""https://enzymejs.github.io/enzyme/"">https://enzymejs.github.io/enzyme/</a> Tech Champ <strong>?</strong>.","is a JavaScript Testing utility for React that makes it easier to assert, manipulate, and traverse your React Components' output. It was developed at Airbnb and later transferred to an independent organization.",,https://enzymejs.github.io/enzyme/,https://enzymejs.github.io/enzyme/,,,,,,,
T-SQL,hold,languages & frameworks,TRUE,"<strong>T-SQL</strong> adds transactions to QSL<a href=""""></a> Tech Champ <strong>Simon </strong>.",adds transactions to QSL,Simon ,,,,,,,,,
ASP .Net,hold,languages & frameworks,FALSE,"<strong>ASP .Net</strong> is an HTML page that includes one or more scripts (small embedded programs) that are processed on a Microsoft Web server before the page is sent to the user.<a href=""https://www.w3schools.com/asp/"">https://www.w3schools.com/asp/</a> Tech Champ <strong>?</strong>.",is an HTML page that includes one or more scripts (small embedded programs) that are processed on a Microsoft Web server before the page is sent to the user.,,https://www.w3schools.com/asp/,https://www.w3schools.com/asp/,,,,,,,
.NET Core (<= 3.1),hold,languages & frameworks,FALSE,"<strong>.NET Core (<= 3.1)</strong> becomes out of support in Dec 2022 all application should be mirated to .Net 6<a href=""https://dotnet.microsoft.com/apps/aspnet"">.Net Guide | Microsoft Docs</a> Tech Champ <strong>?</strong>.",becomes out of support in Dec 2022 all application should be mirated to .Net 6,,https://dotnet.microsoft.com/apps/aspnet,.Net Guide | Microsoft Docs,,,,,,,
JetNexus,adopt,platforms,FALSE,"<strong>JetNexus</strong> is a load balancer for fast, scalable and resilient applications<a href=""https://www.edgenexus.io/"">https://www.edgenexus.io/</a> Tech Champ <strong>?</strong>.","is a load balancer for fast, scalable and resilient applications",,https://www.edgenexus.io/,https://www.edgenexus.io/,,,,,,,
Azure,adopt,platforms,FALSE,"<strong>Azure</strong> Test-driven development (TDD) is a development technique where you must first write a test that fails before you write new functional code. TDD is being quickly adopted by agile software developers for development of application source code<a href=""https://en.m.wikipedia.org/wiki/Serverless_computing""></a> Tech Champ <strong>?</strong>.","is a public cloud computing platform—it is Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) that can be used for services such as analytics, virtual computing, storage, networking, and much more. It can be used to replace or supplement your on-premise servers.",,https://en.m.wikipedia.org/wiki/Serverless_computing,,,,,,,,
SharePoint,adopt,platforms,TRUE,"<strong>SharePoint</strong> development is a strategy in which the first order of business is to develop an API that puts your target developer's interests first and then build the product on top of it (be it a website, mobile application, or a SaaS software).<a href=""Get started with SharePoint."">Get started with SharePoint.</a> Tech Champ <strong>?</strong>.","Organizations use Microsoft SharePoint to create websites. You can use it as a secure place to store, organize, share, and access information from any device. All you need is a web browser",,Get started with SharePoint.,Get started with SharePoint.,,,,,,,
SSRS,adopt,platforms,FALSE,"<strong>SSRS</strong> development is a strategy in which the first order of business is to develop an API that puts your target developer's interests first and then build the product on top of it (be it a website, mobile application, or a SaaS software).<a href=""https://docs.microsoft.com/en-us/sql/reporting-services/create-deploy-and-manage-mobile-and-paginated-reports?view=sql-server-ver15"">SSRS Documents</a> Tech Champ <strong>Simon</strong>.","(Server Reporting Services) is a server-based report generating software system from Microsoft. It is part of a suite of Microsoft SQL Server services, including SSAS (SQL Server Analysis Services) and SSIS (SQL Server Integration Services).",Simon,https://docs.microsoft.com/en-us/sql/reporting-services/create-deploy-and-manage-mobile-and-paginated-reports?view=sql-server-ver15,SSRS Documents,,,,,,,
Office 365,adopt,platforms,FALSE,"<strong>Office 365</strong>  is a framework for software development that emphasizes teamwork, learning, accountability and iterative progress toward a well-defined goal.<a href=""""></a> Tech Champ <strong>?</strong>.","is an integrated experience of apps and services, designed to help you pursue your passion and grow your business. Get apps like Word, Excel, PowerPoint, and more, updated monthly with the latest features and security updates.",,,,,,,,,,
MS Teams,adopt,platforms,FALSE,"<strong>MS Teams</strong>  is an agile software development technique in which two programmers work together at one workstation. One, the driver, writes code while the other, the observer or navigator, reviews each line of code as it is typed in. The two programmers switch roles frequently.<a href=""""></a> Tech Champ <strong>?</strong>.", is a teamwork hub and Office 365 team app that fuses group chat software with collaboration tools.,,,,,,,,,,
Windows Core,adopt,platforms,FALSE,"<strong>Windows Core</strong> are a software development technique—a variant of the service-oriented architecture (SOA) architectural style that structures an application as a collection of loosely coupled services. In a microservices architecture, services are fine-grained and the protocols are lightweight.<a href=""https://www.windowscentral.com/windows-core-os""></a> Tech Champ <strong>Ian</strong>.","is the stripped-down, modular version of Windows that Microsoft intends to use to power the next generation of their devices such as the long-rumored Surface PC, which has a fascinating codename — Centaurus.",Ian,https://www.windowscentral.com/windows-core-os,,,,,,,,
Serverless,adopt,platforms,FALSE,"<strong>Serverless</strong>  computing is a cloud-computing execution model in which the cloud provider runs the server, and dynamically manages the allocation of machine resources. Pricing is based on the actual amount of resources consumed by an application, rather than on pre-purchased units of capacity.<a href=""https://en.wikipedia.org/wiki/Serverless_computing"">wikipedia.org</a> Tech Champ <strong>?</strong>."," computing is a cloud-computing execution model in which the cloud provider runs the server, and dynamically manages the allocation of machine resources. Pricing is based on the actual amount of resources consumed by an application, rather than on pre-purchased units of capacity.",,https://en.wikipedia.org/wiki/Serverless_computing,wikipedia.org,,,,,,,
Azure Developer Portal,adopt,platforms,TRUE,"<strong>Azure Developer Portal</strong> is an automatically generated, fully customizable website with the documentation of your APIs. It is where API consumers can discover your APIs, learn how to use them, request access, and try them out.<a href=""https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal"">Api Management how to developer portal</a> Tech Champ <strong>?</strong>.","is an automatically generated, fully customizable website with the documentation of your APIs. It is where API consumers can discover your APIs, learn how to use them, request access, and try them out.",,https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal,Api Management how to developer portal,,,,,,,
Terraform,adopt,platforms,FALSE,"<strong>Terraform</strong>  is a tool for building, changing, and versioning infrastructure safely and efficiently. Terraform can manage existing and popular service providers as well as custom in-house solutions. Configuration files describe to Terraform the components needed to run a single application or your entire datacenter.<a href=""https://www.terraform.io/"">https://www.terraform.io/</a> Tech Champ <strong>Ian</strong>."," is a tool for building, changing, and versioning infrastructure safely and efficiently. Terraform can manage existing and popular service providers as well as custom in-house solutions. Configuration files describe to Terraform the components needed to run a single application or your entire datacenter.",Ian,https://www.terraform.io/,https://www.terraform.io/,,,,,,,
Azure Data Factory,adopt,platforms,TRUE,"<strong>Azure Data Factory</strong> is the platform that solves such data scenarios. It is the cloud-based ETL and data integration service that allows you to create data-driven workflows for orchestrating data movement and transforming data at scale.<a href=""https://azure.microsoft.com/en-gb/services/data-factory/"">https://azure.microsoft.com/en-gb/services/data-factory/</a> Tech Champ <strong>Simon</strong>.",is the platform that solves such data scenarios. It is the cloud-based ETL and data integration service that allows you to create data-driven workflows for orchestrating data movement and transforming data at scale.,Simon,https://azure.microsoft.com/en-gb/services/data-factory/,https://azure.microsoft.com/en-gb/services/data-factory/,,,,,,,
Azure Appinsights,adopt,platforms,FALSE,"<strong>Azure Appinsights</strong>  is a consensus-based estimating technique. Agile teams around the world use Planning Poker to estimate their product backlogs. Planning Poker can be used with story points, ideal days, or any other estimating unit.<a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview"">app-insights-overview</a> Tech Champ <strong>?</strong>.","is an extensible Application Performance Management (APM) service for web developers on multiple platforms. ... It works for apps on a wide variety of platforms including .NET, Node.js and Java EE, hosted on-premises, hybrid, or any public cloud.",,https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview,app-insights-overview,,,,,,,
Docker (For QA),trial,platforms,FALSE,"<strong>Docker (For QA)</strong>  is a framework for software development that emphasizes teamwork, learning, accountability and iterative progress toward a well-defined goal.<a href=""https://www.docker.com/"">https://www.docker.com/</a> Tech Champ <strong>?</strong>.","is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers. Containers are isolated from one another and bundle their own software, libraries and configuration files; they can communicate with each other through well-defined channels.",,https://www.docker.com/,https://www.docker.com/,,,,,,,
Power BI,trial,platforms,FALSE,"<strong>Power BI</strong> is exactly a rule of “progressive advancement”. “Mobile first”, as the name suggests, means that we start the product design from the mobile end which has more restrictions, then expand its features to create a tablet or desktop version.<a href=""https://powerbi.microsoft.com/en-us/""></a> Tech Champ <strong>Simon</strong>.",is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.,Simon,https://powerbi.microsoft.com/en-us/,,,,,,,,
HCI,trial,platforms,FALSE,"<strong>HCI</strong> converges compute, storage, and management resources to a single industry‐standard x86 server, forming a seamless, software‐ defined environment. HCI is simple to use and manage, does not require specialists, and is far more cost-effective and cost-predictable than many traditional solutions.<a href=""https://www.trustmarque.com/modern-datacentre/software-defined-datacentre/?gclid=Cj0KCQiAsvTxBRDkARIsAH4W_j_C75ARUuEZ6Us4D6vqEjGBCZzqWygPf4RxbTfP3WLiB6ht25Ka18EaAuIrEALw_wcB"">HCI</a> Tech Champ <strong>Ian</strong>.","converges compute, storage, and management resources to a single industry‐standard x86 server, forming a seamless, software‐ defined environment. HCI is simple to use and manage, does not require specialists, and is far more cost-effective and cost-predictable than many traditional solutions.",Ian,https://www.trustmarque.com/modern-datacentre/software-defined-datacentre/?gclid=Cj0KCQiAsvTxBRDkARIsAH4W_j_C75ARUuEZ6Us4D6vqEjGBCZzqWygPf4RxbTfP3WLiB6ht25Ka18EaAuIrEALw_wcB,HCI,,,,,,,
NXS,trial,platforms,TRUE,"<strong>NXS</strong> is a network virtualization and security platform that enables the virtual cloud network, a software-defined approach to networking that extends across data centers, clouds and application frameworks.<a href=""https://www.vmware.com/uk/products/nsx.html#:~:text=Frequently%20Asked%20Questions-,What%20is%20VMware%20NSX%3F,centers%2C%20clouds%20and%20application%20frameworks."">VMWare.com</a> Tech Champ <strong>Ian</strong>.","is a network virtualization and security platform that enables the virtual cloud network, a software-defined approach to networking that extends across data centers, clouds and application frameworks.",Ian,"https://www.vmware.com/uk/products/nsx.html#:~:text=Frequently%20Asked%20Questions-,What%20is%20VMware%20NSX%3F,centers%2C%20clouds%20and%20application%20frameworks.",VMWare.com,,,,,,,
Azure Cognitive Services,trial,platforms,TRUE,"<strong>Azure Cognitive Services</strong> are cloud-based artificial intelligence (AI) services that help you build cognitive intelligence into your applications. They are available as REST APIs, client library SDKs, and user interfaces. You can add cognitive features to your applications without having AI or data science skills<a href=""https://azure.microsoft.com/en-gb/services/cognitive-services/"">https://azure.microsoft.com/en-gb/services/cognitive-services/</a> Tech Champ <strong>?</strong>.","are cloud-based artificial intelligence (AI) services that help you build cognitive intelligence into your applications. They are available as REST APIs, client library SDKs, and user interfaces. You can add cognitive features to your applications without having AI or data science skills",,https://azure.microsoft.com/en-gb/services/cognitive-services/,https://azure.microsoft.com/en-gb/services/cognitive-services/,,,,,,,
SOLID,adopt,techniques,FALSE,"<strong>SOLID</strong> The five principles are as follows:

S – Single Responsibility Principle (SRP)
O – Open Closed Principle (OCP)
L – Liskov Substitution Principle (LSP)
I – Interface Segregation Principle (ISP)
D – Dependency Inversion Principle (DIP)<a href=""https://itnext.io/solid-principles-explanation-and-examples-715b975dcad4"">SOLID Design Principles</a> Tech Champ <strong>?</strong>.","The five principles are as follows:

S – Single Responsibility Principle (SRP)
O – Open Closed Principle (OCP)
L – Liskov Substitution Principle (LSP)
I – Interface Segregation Principle (ISP)
D – Dependency Inversion Principle (DIP)",,https://itnext.io/solid-principles-explanation-and-examples-715b975dcad4,SOLID Design Principles,,,,,,,
Message Queues,adopt,techniques,FALSE,"<strong>Message Queues</strong> provide an asynchronous communications protocol, meaning that the sender and receiver of the message do not need to interact with the message queue at the same time. Messages placed onto the queue are stored until the recipient retrieves them.<a href=""https://www.cloudamqp.com/blog/2014-12-03-what-is-message-queuing.html"">what is message queuing</a> Tech Champ <strong>?</strong>.","provide an asynchronous communications protocol, meaning that the sender and receiver of the message do not need to interact with the message queue at the same time. Messages placed onto the queue are stored until the recipient retrieves them.",,https://www.cloudamqp.com/blog/2014-12-03-what-is-message-queuing.html,what is message queuing,,,,,,,
BDD,adopt,techniques,FALSE,"<strong>BDD</strong> In software engineering, behavior-driven development is an Agile software development process that encourages collaboration between developers, QA and non-technical or business participants in a software project.<a href=""https://cucumber.io/docs/bdd/overview/"">https://cucumber.io/docs/bdd/overview/</a> Tech Champ <strong>?</strong>.","In software engineering, behavior-driven development is an Agile software development process that encourages collaboration between developers, QA and non-technical or business participants in a software project.",,https://cucumber.io/docs/bdd/overview/,https://cucumber.io/docs/bdd/overview/,,,,,,,
Stories (INVEST),adopt,techniques,FALSE,"<strong>Stories (INVEST)</strong> In order to create good user stories, start by remembering to INVEST in good user stories.  INVEST is an acronym which encompasses the following concepts which make up a good user story:  Independent Negotiable Valuable Estimable Small Testable. <a href=""https://youtu.be/INbNIQWL3sY"">agile for all</a> Tech Champ <strong>?</strong>.","In order to create good user stories, start by remembering to INVEST in good user stories.  INVEST is an acronym which encompasses the following concepts which make up a good user story:  Independent Negotiable Valuable Estimable Small Testable. ",,https://youtu.be/INbNIQWL3sY,agile for all,,,,,,,
TDD,adopt,techniques,FALSE,"<strong>TDD</strong> Test-driven development (TDD) is a development technique where you must first write a test that fails before you write new functional code. TDD is being quickly adopted by agile software developers for development of application source code<a href=""https://youtu.be/qkblc5WRn-U"">Uncle Bob does TDD</a> Tech Champ <strong>?</strong>.",Test-driven development (TDD) is a development technique where you must first write a test that fails before you write new functional code. TDD is being quickly adopted by agile software developers for development of application source code,,https://youtu.be/qkblc5WRn-U,Uncle Bob does TDD,,,,,,,
API First,adopt,techniques,FALSE,"<strong>API First</strong> development is a strategy in which the first order of business is to develop an API that puts your target developer's interests first and then build the product on top of it (be it a website, mobile application, or a SaaS software).<a href=""https://dzone.com/articles/an-api-first-development-approach-1""></a> Tech Champ <strong>?</strong>.","development is a strategy in which the first order of business is to develop an API that puts your target developer's interests first and then build the product on top of it (be it a website, mobile application, or a SaaS software).",,https://dzone.com/articles/an-api-first-development-approach-1,,,,,,,,
Scrum,adopt,techniques,FALSE,"<strong>Scrum</strong>  is a framework for software development that emphasizes teamwork, learning, accountability and iterative progress toward a well-defined goal.<a href=""http://scrumtrainingseries.com/"">http://scrumtrainingseries.com/</a> Tech Champ <strong>?</strong>."," is a framework for software development that emphasizes teamwork, learning, accountability and iterative progress toward a well-defined goal.",,http://scrumtrainingseries.com/,http://scrumtrainingseries.com/,,,,,,,
Pair Programming,adopt,techniques,FALSE,"<strong>Pair Programming</strong>  is an agile software development technique in which two programmers work together at one workstation. One, the driver, writes code while the other, the observer or navigator, reviews each line of code as it is typed in. The two programmers switch roles frequently.<a href=""https://youtu.be/vgkahOzFH2Q"">Pairing </a> Tech Champ <strong>?</strong>."," is an agile software development technique in which two programmers work together at one workstation. One, the driver, writes code while the other, the observer or navigator, reviews each line of code as it is typed in. The two programmers switch roles frequently.",,https://youtu.be/vgkahOzFH2Q,Pairing ,,,,,,,
C4 Architecture model,adopt,techniques,FALSE,"<strong>C4 Architecture model</strong> model is an ""abstraction-first"" approach to diagramming software architecture, based upon abstractions that reflect how software architects and developers think about and build software. The small set of abstractions and diagram types makes the C4 model easy to learn and use.<a href=""https://c4model.com/"">https://c4model.com/</a> Tech Champ <strong>?</strong>.","model is an ""abstraction-first"" approach to diagramming software architecture, based upon abstractions that reflect how software architects and developers think about and build software. The small set of abstractions and diagram types makes the C4 model easy to learn and use.",,https://c4model.com/,https://c4model.com/,,,,,,,
