name,ring,quadrant,isNew,description,Descriptive text here,Tech Champ,URL,URL Text,,ring_dropdown,,quadrant_dropdown,isNew_dropdown,Link to Radar,
Azure Developer Portal,adopt,platforms,TRUE,"<strong>Azure Developer Portal</strong> is an automatically generated, fully customizable website with the documentation of your APIs. It is where API consumers can discover your APIs, learn how to use them, request access, and try them out.<a href=""https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal"">Api Management how to developer portal</a> Tech Champ <strong>?</strong>.","is an automatically generated, fully customizable website with the documentation of your APIs. It is where API consumers can discover your APIs, learn how to use them, request access, and try them out.",,https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-developer-portal,Api Management how to developer portal,,,,,,,
Azure Data Factory,adopt,platforms,TRUE,"<strong>Azure Data Factory</strong> is the platform that solves such data scenarios. It is the cloud-based ETL and data integration service that allows you to create data-driven workflows for orchestrating data movement and transforming data at scale.<a href=""https://azure.microsoft.com/en-gb/services/data-factory/"">https://azure.microsoft.com/en-gb/services/data-factory/</a> Tech Champ <strong>Simon</strong>.",is the platform that solves such data scenarios. It is the cloud-based ETL and data integration service that allows you to create data-driven workflows for orchestrating data movement and transforming data at scale.,Simon,https://azure.microsoft.com/en-gb/services/data-factory/,https://azure.microsoft.com/en-gb/services/data-factory/,,,,,,,
NXS,trial,platforms,TRUE,"<strong>NXS</strong> is a network virtualization and security platform that enables the virtual cloud network, a software-defined approach to networking that extends across data centers, clouds and application frameworks.<a href=""https://www.vmware.com/uk/products/nsx.html#:~:text=Frequently%20Asked%20Questions-,What%20is%20VMware%20NSX%3F,centers%2C%20clouds%20and%20application%20frameworks."">VMWare.com</a> Tech Champ <strong>Ian</strong>.","is a network virtualization and security platform that enables the virtual cloud network, a software-defined approach to networking that extends across data centers, clouds and application frameworks.",Ian,"https://www.vmware.com/uk/products/nsx.html#:~:text=Frequently%20Asked%20Questions-,What%20is%20VMware%20NSX%3F,centers%2C%20clouds%20and%20application%20frameworks.",VMWare.com,,,,,,,
Azure Cognitive Services,trial,platforms,TRUE,"<strong>Azure Cognitive Services</strong> are cloud-based artificial intelligence (AI) services that help you build cognitive intelligence into your applications. They are available as REST APIs, client library SDKs, and user interfaces. You can add cognitive features to your applications without having AI or data science skills<a href=""https://azure.microsoft.com/en-gb/services/cognitive-services/"">https://azure.microsoft.com/en-gb/services/cognitive-services/</a> Tech Champ <strong>?</strong>.","are cloud-based artificial intelligence (AI) services that help you build cognitive intelligence into your applications. They are available as REST APIs, client library SDKs, and user interfaces. You can add cognitive features to your applications without having AI or data science skills",,https://azure.microsoft.com/en-gb/services/cognitive-services/,https://azure.microsoft.com/en-gb/services/cognitive-services/,,,,,,,
ScrumBan,trial,techniques,TRUE,"<strong>ScrumBan</strong> <a href=""https://kanbanize.com/kanban-resources/getting-started/what-is-kanban/"">WhatIsKanban</a> Tech Champ <strong>Michael</strong>.",,Michael,https://kanbanize.com/kanban-resources/getting-started/what-is-kanban/,WhatIsKanban,,,,,,,
Log Analytics,adopt,tools,TRUE,"<strong>Log Analytics</strong> Log Analytics is a tool in the Azure portal to edit and run log queries from data collected by Azure Monitor Logs and interactively analyze their results. You can use Log Analytics queries to retrieve records that match particular criteria, identify trends, analyze patterns, and provide various insights into your data.<a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/logs/log-analytics-tutorial"">log-analytics-tutorial</a> Tech Champ <strong>?</strong>.","Log Analytics is a tool in the Azure portal to edit and run log queries from data collected by Azure Monitor Logs and interactively analyze their results. You can use Log Analytics queries to retrieve records that match particular criteria, identify trends, analyze patterns, and provide various insights into your data.",,https://docs.microsoft.com/en-us/azure/azure-monitor/logs/log-analytics-tutorial,log-analytics-tutorial,,,,,,,
Adobe XD,adopt,tools,TRUE,"<strong>Adobe XD</strong> is a vector-based user experience design tool for web apps and mobile apps, developed and published by Adobe Inc. It is available for macOS and Windows, although there are versions for iOS and Android to help preview the result of work directly on mobile devices.<a href=""https://www.adobe.com/uk/products/xd/details.html"">Adobe XD</a> Tech Champ <strong>Alison</strong>.","is a vector-based user experience design tool for web apps and mobile apps, developed and published by Adobe Inc. It is available for macOS and Windows, although there are versions for iOS and Android to help preview the result of work directly on mobile devices.",Alison,https://www.adobe.com/uk/products/xd/details.html,Adobe XD,,,,,,,
HotJar,trial,tools,TRUE,"<strong>HotJar</strong> is a powerful tool that reveals the online behavior and voice of your users. By combining both Analysis and Feedback tools, Hotjar gives you the 'big picture' of how to improve your site's user experience and performance/conversion rates.<a href=""https://www.hotjar.com/"">https://www.hotjar.com/</a> Tech Champ <strong>Alison</strong>.","is a powerful tool that reveals the online behavior and voice of your users. By combining both Analysis and Feedback tools, Hotjar gives you the 'big picture' of how to improve your site's user experience and performance/conversion rates.",Alison,https://www.hotjar.com/,https://www.hotjar.com/,,,,,,,
Azure DevOps Boards,trial,tools,TRUE,"<strong>Azure DevOps Boards</strong> is an interface or a service of DevOps through which teams can manage their projects throughout the entire development lifecycle.<a href=""https://docs.microsoft.com/en-us/azure/devops/boards/get-started/what-is-azure-boards?view=azure-devops"">DevOps Boards</a> Tech Champ <strong>Karen</strong>.",is an interface or a service of DevOps through which teams can manage their projects throughout the entire development lifecycle.,Karen,https://docs.microsoft.com/en-us/azure/devops/boards/get-started/what-is-azure-boards?view=azure-devops,DevOps Boards,,,,,,,
Playwright,assess,tools,TRUE,"<strong>Playwright</strong> Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API<a href=""https://playwright.dev/"">https://playwright.dev/</a> Tech Champ <strong>?</strong>.","Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API",,https://playwright.dev/,https://playwright.dev/,,,,,,,
Power Apps (Flow),assess,tools,TRUE,"<strong>Power Apps (Flow)</strong> allows you to build time-saving workflows into everything from individual tasks to large-scale systems with seamless integration using hundreds of prebuilt connectors.<a href=""https://flow.microsoft.com/en-us/"">https://flow.microsoft.com/en-us/</a> Tech Champ <strong>Simon</strong>.",allows you to build time-saving workflows into everything from individual tasks to large-scale systems with seamless integration using hundreds of prebuilt connectors.,Simon,https://flow.microsoft.com/en-us/,https://flow.microsoft.com/en-us/,,,,,,,
Purview,assess,tools,TRUE,"<strong>Purview</strong> is a unified data governance solution that helps you manage and govern your on-premises, multicloud, and software-as-a-service (SaaS) data. Easily create a holistic, up-to-date map of your data landscape with automated data discovery, sensitive data classification, and end-to-end data lineage. Enable data consumers to find valuable, trustworthy data.<a href=""""></a> Tech Champ <strong>?</strong>.","is a unified data governance solution that helps you manage and govern your on-premises, multicloud, and software-as-a-service (SaaS) data. Easily create a holistic, up-to-date map of your data landscape with automated data discovery, sensitive data classification, and end-to-end data lineage. Enable data consumers to find valuable, trustworthy data.",,,,,,,,,,
SpecFlow Runner,hold,tools,TRUE,"<strong>SpecFlow Runner</strong> is a powerful test runner for SpecFlow that further boosts your automation productivity. But it does not play well with .Net 6<a href=""https://specflow.org/tools/runner/"">https://specflow.org/tools/runner/</a> Tech Champ <strong>?</strong>.",is a powerful test runner for SpecFlow that further boosts your automation productivity. But it does not play well with .Net 6,,https://specflow.org/tools/runner/,https://specflow.org/tools/runner/,,,,,,,
